vendor_id,recipient_uei,recipient_duns,recipient_name,recipient_name_raw,recipient_doing_business_as_name,cage_code,recipient_parent_uei,recipient_parent_duns,recipient_parent_name,recipient_country_code,recipient_address_line_1,recipient_address_line_2,recipient_city_name,recipient_county_name,recipient_state_code,recipient_zip_4_code,contracting_officers_determination_of_business_size_code,contracting_officers_determination_of_business_size,source_transaction_count,recipient_name_variant_count,address_variant_count
UEI:HGJ8KUSDZJ72,HGJ8KUSDZJ72,,"TEAMWORX SECURITY, INC.","TEAMWORX SECURITY, INC.",,7QUA8,HGJ8KUSDZJ72,,"TEAMWORX SECURITY, INC.",USA,6751 COLUMBIA GATEWAY DRIVE,SUITE 300,COLUMBIA,HOWARD,MD,21046,S,SMALL BUSINESS,5,1,2
UEI:XS27YPMDNVX8,XS27YPMDNVX8,,CMC & MAINTENANCE INC,"CMC & MAINTENANCE, INC.",,1BKM8,XS27YPMDNVX8,,CMC & MAINTENANCE INC,USA,4 UNION ST,STE 1,BANGOR,PENOBSCOT,ME,044016457,S,SMALL BUSINESS,165,1,2
UEI:HB9HZZ9R8AX4,HB9HZZ9R8AX4,,ACTION FACILITIES MANAGEMENT INC,"ACTION FACILITIES MANAGEMENT, INC.",,3EET9,HB9HZZ9R8AX4,,ACTION FACILITIES MANAGEMENT INC,USA,115 MALONE DR,,MORGANTOWN,MONONGALIA,WV,265012283,S,SMALL BUSINESS,328,1,1
UEI:ULNZDANYWP88,ULNZDANYWP88,,"MJAG CONSTRUCTION SERVICES, LLC","MJAG CONSTRUCTION SERVICES, LLC",MJAG CONSTRUCTION SERVICES LLC,8HHM6,ULNZDANYWP88,,"MJAG CONSTRUCTION SERVICES, LLC",USA,1508 J F KENNEDY DR STE 203,,BELLEVUE,SARPY,NE,680056611,S,SMALL BUSINESS,11,1,2
UEI:WX6XFTXM1EM6,WX6XFTXM1EM6,,"PUNDIR GROUP, INC","PUNDIR GROUP, INC.",,6DAW6,WX6XFTXM1EM6,,"PUNDIR GROUP, INC",USA,615 10TH ST,,SACRAMENTO,SACRAMENTO,CA,958140756,S,SMALL BUSINESS,240,1,1
UEI:X6E8D5J5BZF7,X6E8D5J5BZF7,,DAE SUNG LLC,"DAE SUNG, LLC",,6FW31,X6E8D5J5BZF7,,DAE SUNG LLC,USA,23808 W ANDREW RD,STE 3,PLAINFIELD,WILL,IL,605858767,S,SMALL BUSINESS,434,1,1
UEI:TS6JPZLWN8G1,TS6JPZLWN8G1,,CTA INC,CTA INC,,0JXS0,TS6JPZLWN8G1,,CTA INC,USA,13 N 23RD ST,,BILLINGS,YELLOWSTONE,MT,591012467,O,OTHER THAN SMALL BUSINESS,9,1,1
UEI:PQ7LMNJQTC15,PQ7LMNJQTC15,,"TEAMGOV, INC.","TEAMGOV, INC.",,6H1Q2,PQ7LMNJQTC15,,"TEAMGOV, INC.",USA,8201 CORPORATE DR STE 620,,HYATTSVILLE,PRINCE GEORGE'S,MD,207852245,S,SMALL BUSINESS,81,1,1
UEI:DV9FJK9Y3MD3,DV9FJK9Y3MD3,,CAPITAL BRAND GROUP LLC,CAPITAL BRAND GROUP LLC,,7MS89,DV9FJK9Y3MD3,,CAPITAL BRAND GROUP LLC,USA,6600 VIRGINIA MANOR RD,,BELTSVILLE,PRINCE GEORGE'S,MD,207051255,S,SMALL BUSINESS,80,1,3
UEI:MEGXRNNEBQ24,MEGXRNNEBQ24,,"MG FACILITY SERVICES, LLC","MG FACILITY SERVICES, LLC",,8E0N2,MEGXRNNEBQ24,,"MG FACILITY SERVICES, LLC",USA,1640 BORO PL FL 4,,MCLEAN,FAIRFAX,VA,221023627,S,SMALL BUSINESS,1,1,1
